Blog	four	here	want	how	series	re	than	and	much	life	things	had	has	right	old	people	for	time	working	such	so	years	course	didn	internet	million	one	open	city	future	say	take	going	where	many	s	being	around	world	her	with	an	as	at	to	th	small	past	full	hours	social	via	more	company	its	always	found	really	number	also	set	see	available	last	d	be	by	anything	into	up	us	ago	having	video	let	great	makes	next	this	high	doing	put	start	system	best	should	email	ve	site	off	web	does	work	could	after	then	them	they	another	what	do	away	we	the	night	post	months	way	was	update	live	can	still	not	now	year	shows	that	online	only	between	these	real	read	using	t	your	lot	you	month	very	a	actually	since	pretty	during	x	probably	both	look	while	used	march	game	some	doesn	go	facebook	camera	control	him	times	data	need	she	i	well	page	twitter	even	new	ever	never	before	better	weeks	seen	don	m	said	three	is	it	in	if	make	just	yet	down	finally	me	did	may	nbsp	thing	think	first	little	were	show	black	get	enough	according	those	different	same	money	again	important	two	coming	through	good	house	idea	part	most	create	fun	source	big	bit	google	back	ll	day	announced	have	like	about	but	under	every	street	would	my	keep	end	over	each	got	free	days	top	too	took	though	pope	however	news	been	search	no	when	says	today	any	come	week	without	blog	on	of	or	there	all	version	rather	might	feel	story	check	his	hit	are	long	called	find	use	from	few	something	our	out	york	their	which	who	why	he	will	gets	other	know	because	getting	own	made	book
Search Engine Roundtable	0	3	0	0	0	0	0	8	0	0	1	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	6	1	1	0	0	0	0	1	6	10	2	0	0	0	0	0	2	1	0	0	2	0	0	0	1	0	1	0	4	0	5	0	0	0	1	0	0	0	1	0	0	0	4	5	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	2	2	4	2	0	0	28	4	0	0	0	1	2	4	0	0	2	0	0	0	9	0	0	0	0	0	0	1	0	1	0	1	0	2	8	1	3	0	2	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	12	0	1	0	1	3	0	0	0	0	3	0	0	0	1	0	10	6	9	0	0	0	2	0	0	0	1	0	0	1	1	2	0	0	1	1	3	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	5	0	20	0	0	0	3	1	0	2	3	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	16	1	3	0	2	1	1	1	0	0	6	13	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	0	5	2	2	2	0	0	0	0	0
Copyblogger	0	2	4	13	1	1	0	34	1	1	0	0	0	2	0	1	12	3	1	0	1	0	2	0	1	0	0	1	0	0	1	0	9	2	1	15	0	2	0	0	8	3	0	2	25	0	0	0	0	1	6	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	2	0	0	0	0	1	0	0	1	5	0	0	0	0	1	3	8	2	4	1	0	0	0	1	1	0	0	0	0	1	1	0	0	2	33	0	0	0	0	2	0	1	2	1	0	0	3	0	8	2	1	0	0	1	0	2	4	4	0	14	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	20	3	25	2	1	1	0	2	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	4	0	0	1	0	13	2	0	1	0	1	0	3	4	0	1	0	0	1	0	1	1	0	5	1	0	0	0	1	0	0	0	0	1	2	2	1	0	0	0	0	2	0	0	4	9	1	1	1	0	0	0	0	0	0	5	0	1	0	0	1	3	3	0	1	2	3	0	8	1	1	1	6	1	0	0	0	0	0	0	0	0
PerezHilton	0	2	0	2	0	3	0	13	0	0	0	0	2	1	0	0	11	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	11	0	0	1	1	4	1	4	2	17	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	1	0	2	1	0	1	1	3	0	0	4	1	0	0	0	4	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	2	0	3	0	0	14	33	0	0	0	0	5	0	0	2	0	0	0	2	0	5	0	1	1	1	0	0	0	5	2	0	7	0	1	16	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	1	3	0	0	2	1	10	0	1	0	1	0	0	2	0	2	0	4	3	12	3	0	4	0	0	1	2	0	1	0	0	1	1	0	1	4	2	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	2	2	2	4	1	0	0	1	0	0	0	3	0	1	0	2	0	1	1	0	3	0	0	1	0	0	2	0	3	1	1	0	1	0	6	12	2	5	2	0	0	0	0	0	0	1	0	3	1	1	0	0	5	0	2	2	1	0	1	1	1	0	0	4	1	0	3	2	0	0	0	0
Engadget RSS Feed	2	5	2	4	3	11	3	93	3	1	3	4	22	5	1	1	68	15	1	1	8	1	3	2	8	4	8	2	3	1	2	2	0	4	5	100	5	8	8	1	47	24	24	32	100	11	0	3	1	4	1	0	15	14	31	0	1	1	4	8	5	2	6	8	17	29	10	1	6	11	11	1	1	9	2	0	1	5	10	1	0	2	3	2	1	3	4	2	1	8	0	1	2	3	10	0	1	7	6	13	2	2	17	228	0	2	3	3	5	10	4	13	7	8	15	7	2	55	2	5	0	0	2	2	5	14	8	2	34	2	2	111	1	1	3	1	2	1	3	3	5	1	11	4	9	1	3	0	3	0	1	4	5	3	0	1	7	3	4	5	10	0	1	2	6	1	1	2	1	3	1	36	56	64	7	2	17	4	2	0	2	1	2	0	2	0	7	1	4	2	2	6	4	2	7	2	4	1	3	1	3	0	4	4	1	0	2	4	0	0	6	1	4	17	8	9	1	5	15	7	4	16	23	1	2	7	0	4	1	5	2	0	6	4	1	0	2	2	0	4	2	9	3	8	9	2	6	2	2	5	3	6	51	79	23	11	8	3	2	2	2	0	4	4	5	20	0	2	5	1	16	7	1	5	12	1	9	8	5	2	8	32	1	17	3	2	1	5	1	0
SimpleBits	0	0	0	1	0	1	1	5	1	0	1	3	2	1	0	0	14	1	0	0	2	4	0	0	0	0	2	1	0	0	1	0	0	1	1	6	0	1	0	0	3	5	2	2	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	2	0	0	1	0	0	2	0	1	0	0	0	1	5	0	0	0	0	0	2	0	0	6	0	0	7	0	1	0	0	1	0	0	1	0	1	0	1	30	0	0	0	2	1	1	0	1	0	6	1	0	1	6	0	0	0	2	0	1	0	4	1	0	2	1	0	17	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	16	1	0	0	0	8	1	0	0	0	0	0	0	3	0	0	10	18	4	0	1	1	0	1	2	0	1	0	0	1	2	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	3	3	2	4	0	2	0	2	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	4	14	1	0	2	0	1	1	0	0	1	1	1	1	1	0	0	1	1	3	3	0	4	0	0	0	0	0	1	0	0	0	0	2	0	2	2	4
mezzoblue	0	1	0	1	0	1	0	4	1	0	0	0	1	1	0	0	2	1	1	0	2	0	0	1	0	0	2	0	0	0	0	1	1	1	0	9	0	1	0	0	5	2	3	0	12	1	0	2	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	0	1	2	0	1	1	0	0	0	0	1	1	0	0	0	3	0	1	1	0	0	0	2	0	6	2	1	0	1	1	0	0	0	2	0	0	1	0	0	0	16	0	0	1	2	2	0	0	1	1	2	1	0	0	7	0	0	0	1	0	0	0	3	0	2	5	1	0	17	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	4	1	0	0	0	0	0	0	2	0	0	2	6	1	1	1	1	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	6	0	0	0	0	3	0	0	3	0	1	2	0	0	1	0	0	0	0	1	3	0	0	2	0	1	1	0	1	0	0	5	12	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Slashdot	1	0	1	4	1	4	7	85	0	2	0	8	19	4	2	8	40	7	1	2	7	3	1	0	6	4	9	4	1	2	0	2	2	0	5	48	4	3	3	0	20	11	32	52	89	0	3	1	3	1	0	1	40	5	12	0	1	4	3	8	2	0	2	7	8	18	17	0	5	9	4	1	6	3	0	0	2	3	44	2	1	0	4	4	0	1	0	1	0	2	2	3	5	5	1	0	2	16	2	5	4	1	9	193	0	1	1	3	8	0	1	9	2	8	2	9	1	45	1	1	4	1	0	26	6	8	1	1	11	0	2	76	0	2	0	2	4	0	0	1	1	0	3	0	5	2	2	0	1	3	1	3	6	0	0	9	7	2	0	7	10	0	0	1	1	1	2	2	5	4	4	30	29	54	5	3	6	3	6	0	0	2	2	0	0	0	2	0	5	0	0	1	2	5	2	2	3	3	0	0	3	0	1	0	0	1	1	3	1	0	3	4	2	16	3	1	1	0	10	10	15	11	2	0	1	1	0	0	2	12	1	0	2	1	3	3	0	0	4	3	0	14	1	4	7	1	1	3	0	0	1	8	33	117	9	3	8	1	2	4	0	25	0	6	0	15	0	0	5	4	20	2	0	2	5	0	18	6	5	2	13	11	0	12	2	2	0	3	2	1
Matt Cutts: Gadgets, Google, and SEO	0	2	1	1	0	2	1	14	1	0	1	1	1	0	0	2	10	4	0	0	7	0	0	1	2	0	0	0	0	0	0	0	1	1	0	6	0	1	0	2	5	1	0	3	23	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	2	1	4	1	0	0	3	0	0	0	1	0	0	0	2	4	0	2	1	1	0	0	1	0	0	0	2	0	0	0	1	0	0	2	3	0	6	1	1	1	21	0	0	0	0	3	0	0	3	3	1	0	2	0	3	0	0	0	0	0	1	0	3	2	2	6	5	0	21	0	0	0	1	0	1	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	1	1	22	1	2	1	0	4	0	0	0	0	0	0	0	6	0	0	5	4	13	1	2	2	0	2	0	2	4	0	0	0	1	1	2	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	1	1	0	1	1	0	1	0	1	1	3	0	1	5	1	2	3	4	4	0	1	0	1	16	0	1	0	0	0	2	2	0	0	1	0	0	0	1	1	0	3	2	0	0	0	0	5	1	1	5	10	2	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	4	1	2	1	3	0	1	1	0	2	0	1	0	0	2	0	0	0	1	0
Gothamist	2	5	2	0	0	5	2	77	1	1	2	5	12	1	13	7	26	5	0	0	4	3	0	2	0	0	8	1	4	0	5	6	0	4	0	43	2	6	2	6	22	9	19	21	65	13	1	0	2	0	0	0	44	0	1	0	0	2	0	5	2	5	1	8	2	10	15	1	3	13	4	2	1	4	3	0	1	5	17	5	0	2	2	2	2	1	1	4	1	5	1	1	0	3	9	1	2	9	3	10	4	1	11	155	4	0	2	0	27	4	0	11	5	5	8	14	2	28	1	1	3	1	2	0	1	17	5	0	30	2	2	79	0	0	2	2	0	0	2	2	3	1	2	2	3	0	2	3	1	0	9	4	0	0	9	3	2	0	3	2	11	1	3	5	1	2	2	9	5	2	2	37	23	55	5	1	4	2	2	3	0	2	1	11	1	0	5	2	7	2	0	6	1	2	0	1	0	1	1	2	8	2	2	4	2	0	1	3	0	0	0	6	0	0	6	2	6	2	8	7	7	10	0	0	8	1	0	1	2	3	1	4	0	0	5	1	0	0	16	2	3	7	1	5	10	2	9	1	3	6	1	0	35	56	3	5	6	1	0	2	0	2	2	17	4	17	2	2	2	3	9	3	0	5	9	3	10	11	18	3	13	7	3	3	4	4	2	1	0	0
we make money not art	0	2	0	3	4	1	0	70	0	0	0	3	6	2	1	5	20	1	4	1	3	1	1	0	0	0	5	2	5	1	0	1	6	4	0	17	1	6	6	0	15	6	17	14	61	0	0	0	0	0	1	3	1	0	4	1	0	2	0	5	0	4	1	2	0	7	6	0	1	4	11	0	2	1	1	2	0	0	7	0	0	0	0	2	0	1	0	1	0	0	0	2	5	1	2	1	2	6	1	5	3	1	6	103	1	0	0	0	6	0	0	8	0	10	5	2	1	20	1	3	4	2	0	0	3	7	0	0	6	1	2	63	3	1	0	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1	0	0	20	5	0	0	3	2	0	1	1	1	0	1	2	5	0	1	21	15	35	2	2	1	2	2	0	3	1	0	0	1	0	0	0	1	3	2	2	1	0	0	1	0	3	0	0	2	0	2	0	0	0	1	0	3	0	0	1	1	0	2	1	1	0	6	4	6	6	1	0	3	3	4	0	0	3	3	0	1	0	1	1	1	0	0	2	2	2	0	2	4	0	3	0	0	2	1	2	11	55	3	2	7	0	0	2	1	0	0	3	0	14	3	1	1	2	13	2	0	4	5	0	9	4	4	1	3	1	2	0	3	2	0	1	0	2
